filepath,lines_of_code,lines_of_code_hit,coverage_percent,untested_code_lines
lib/src/tools/executable_config.g.dart,4,0,0.00,9;10;12;13
lib/src/tools/launch_config.g.dart,19,0,0.00,9;10;11;12;13;14;16;17;19;21;22;25;26;27;28;29;30;31;32
lib/src/tools/obtain_config.g.dart,7,0,0.00,9;10;11;14;15;16;17
lib/src/tools/system_info.dart,13,0,0.00,4;5;7;9;12;13;18;22;23;24;26;29;30
lib/src/tools/validate_exception.dart,5,0,0.00,4;8;17;19;21
lib/src/tools/launch_config.dart,21,1,4.76,26;27;28;30;31;33;34;36;37;39;40;42;43;47;56;57;67;75;76;78
lib/src/tools/obtain_config.dart,10,1,10.00,16;17;18;20;21;27;29;30;32
lib/src/tools/executable_config.dart,7,1,14.29,14;15;16;22;23;25
lib/src/tools/obtain.dart,69,56,81.16,21;22;23;37;53;54;64;82;83;88;116;117;156
lib/src/tools/launch.dart,52,49,94.23,32;36;62
